Country,UNESCO World Heritage List,Category,Paul,Ruth,Ben,Shaz,Description,Justification,Date Inscribed,Unique Number,ID Number
China,"Mountain Resort and its Outlying Temples, Chengde",Cultural,N,N,N,N,"<p>The Mountain Resort (the Qing dynasty's summer palace), in Hebei Province, was built between 1703 and 1792. It is a vast complex of palaces and administrative and ceremonial buildings. Temples of various architectural styles and imperial gardens blend harmoniously into a landscape of lakes, pastureland and forests. In addition to its aesthetic interest, the Mountain Resort is a rare historic vestige of the final development of feudal society in China.</p>",,1994,831,703
China,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,Cultural,N,N,N,N,"<p>The temple, cemetery and family mansion of Confucius, the great philosopher, politician and educator of the 6th&ndash;5th centuries B.C., are located at Qufu, in Shandong Province. Built to commemorate him in 478 B.C., the temple has been destroyed and reconstructed over the centuries; today it comprises more than 100 buildings. The cemetery contains Confucius' tomb and the remains of more than 100,000 of his descendants. The small house of the Kong family developed into a gigantic aristocratic residence, of which 152 buildings remain. The Qufu complex of monuments has retained its outstanding artistic and historic character due to the devotion of successive Chinese emperors over more than 2,000 years.</p>",,1994,832,704
China,Ancient Building Complex in the Wudang Mountains,Cultural,N,N,N,N,"<p>The palaces and temples which form the nucleus of this group of secular and religious buildings exemplify the architectural and artistic achievements of China's Yuan, Ming and Qing dynasties. Situated in the scenic valleys and on the slopes of the Wudang mountains in Hubei Province, the site, which was built as an organized complex during the Ming dynasty (14th&ndash;17th centuries), contains Taoist buildings from as early as the 7th century. It represents the highest standards of Chinese art and architecture over a period of nearly 1,000 years.</p>",,1994,833,705
China,"Historic Ensemble of the Potala Palace, Lhasa",Cultural,N,N,N,N,"<p>The Potala Palace, winter palace of the Dalai Lama since the 7th century, symbolizes Tibetan Buddhism and its central role in the traditional administration of Tibet. The complex, comprising the White and Red Palaces with their ancillary buildings, is built on Red Mountain in the centre of Lhasa Valley, at an altitude of 3,700m. Also founded in the 7th century, the Jokhang Temple Monastery is an exceptional Buddhist religious complex. Norbulingka, the Dalai Lama's former summer palace, constructed in the 18th century, is a masterpiece of Tibetan art. The beauty and originality of the architecture of these three sites, their rich ornamentation and harmonious integration in a striking landscape, add to their historic and religious interest.</p>",,1994,837,707
China,Lushan National Park,Cultural,N,N,N,N,"<p>Mount Lushan, in Jiangxi, is one of the spiritual centres of Chinese civilization. Buddhist and Taoist temples, along with landmarks of Confucianism, where the most eminent masters taught, blend effortlessly into a strikingly beautiful landscape which has inspired countless artists who developed the aesthetic approach to nature found in Chinese culture.</p>","<p>The Committee decided to inscribe this property on the basis of cultural cultural criteria (ii), (iii), (iv) and (vi) as a cultural landscape of outstanding aesthetic value and its powerful associations with Chinese spiritual and cultural life.</p>",1996,921,778
China,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",Mixed,N,N,N,N,"<p>The first Buddhist temple in China was built here in Sichuan Province in the 1st century A.D. in the beautiful surroundings of the summit Mount Emei. The addition of other temples turned the site into one of Buddhism's holiest sites. Over the centuries, the cultural treasures grew in number. The most remarkable is the Giant Buddha of Leshan, carved out of a hillside in the 8th century and looking down on the confluence of three rivers. At 71 m high, it is the largest Buddha in the world. Mount Emei is also notable for its exceptionally diverse vegetation, ranging from subtropical to subalpine pine forests. Some of the trees there are more than 1,000 years old.</p>","<p>The Committee decided to inscribe the nominated property under cultural criteria (iv) and (vi) considering the area of Mt. Emei is of exceptional cultural significance, since it is the place where Buddhism first became established on Chinese territory and from where it spread widely throughout the east. It is also an area of natural beauty into which the human element has been integrated, and natural criterion (x) for its high plant species diversity with a large number of endemic species. It also underlined the importance of the link between the tangible and intangible, the natural and the cultural.</p>",1996,922,779
China,Old Town of Lijiang,Cultural,N,N,N,N,"<p>The Old Town of Lijiang, which is perfectly adapted to the uneven topography of this key commercial and strategic site, has retained a historic townscape of high quality and authenticity. Its architecture is noteworthy for the blending of elements from several cultures that have come together over many centuries. Lijiang also possesses an ancient water-supply system of great complexity and ingenuity that still functions effectively today.</p>","<p>The Committee decided to inscribe this site on the basis of cultural criteria (ii), (iv) and (v). Lijiang is an exceptional ancient town set in a dramatic landscape which represents the harmonious fusion of different cultural traditions to produce an urban landscape of outstanding quality.</p>",1997,1934,811
China,Ancient City of Ping Yao,Cultural,N,N,N,N,"<p>Ping Yao is an exceptionally well-preserved example of a traditional Han Chinese city, founded in the 14th century. Its urban fabric shows the evolution of architectural styles and town planning in Imperial China over five centuries. Of special interest are the imposing buildings associated with banking, for which Ping Yao was the major centre for the whole of China in the 19th and early 20th centuries.</p>","<p>The Committee decided to inscribe this property on the basis of criteria (ii), (iii) and (iv), considering that the Ancient City of Ping Yao is an outstanding example of a Han Chinese city of the Ming and Qing Dynasties (14th-20th centuries) that has retained all its features to an exceptional degree and in doing so provides a remarkably complete picture of cultural, social, economic, and religious development during one of the most seminal periods of Chinese history.</p>",1997,959,812
China,Classical Gardens of Suzhou,Cultural,N,N,N,N,"<p>Classical Chinese garden design, which seeks to recreate natural landscapes in miniature, is nowhere better illustrated than in the nine gardens in the historic city of Suzhou. They are generally acknowledged to be masterpieces of the genre. Dating from the 11th-19th century, the gardens reflect the profound metaphysical importance of natural beauty in Chinese culture in their meticulous design.</p>","<p>The Committee decided to inscribe this property on the basis of criteria (i), (ii), (iii), (iv) and (v), considering that the four classical gardens of Suzhou are masterpieces of Chinese landscape garden design in which art, nature, and ideas are integrated perfectly to create ensembles of great beauty and peaceful harmony, and four gardens are integral to the entire historic urban plan.</p>",1997,961,813
China,"Summer Palace, an Imperial Garden in Beijing",Cultural,N,N,Y,Y,"<p>The Summer Palace in Beijing &ndash; first built in 1750, largely destroyed in the war of 1860 and restored on its original foundations in 1886 &ndash; is a masterpiece of Chinese landscape garden design. The natural landscape of hills and open water is combined with artificial features such as pavilions, halls, palaces, temples and bridges to form a harmonious ensemble of outstanding aesthetic value.</p>","<p>Criterion i: The Summer Palace in Beijing is an outstanding expression of the creative art of Chinese landscape garden design, incorporating the works of humankind and nature in a harmonious whole. Criterion ii: The Summer Palace epitomizes the philosophy and practice of Chinese garden design, which played a key role in the development of this cultural form throughout the East. Criterion iii: The imperial Chinese garden, illustrated by the Summer Palace, is a potent symbol of one of the major world civilizations.</p>",1998,1032,880
China,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,Cultural,N,N,Y,Y,"<p>The Temple of Heaven, founded in the first half of the 15th century, is a dignified complex of fine cult buildings set in gardens and surrounded by historic pine woods. In its overall layout and that of its individual buildings, it symbolizes the relationship between earth and heaven &ndash; the human world and God's world &ndash; which stands at the heart of Chinese cosmogony, and also the special role played by the emperors within that relationship.</p>","<p>Criterion i: The Temple of Heaven is a masterpiece of architecture and landscape design which simply and graphically illustrates a cosmogony of great importance for the evolution of one of the world&rsquo;s great civilizations. Criterion ii: The symbolic layout and design of the Temple of Heaven had a profound influence on architecture and planning in the Far East over many centuries. Criterion iii: For more than two thousand years China was ruled by a series of feudal dynasties, the legitimacy of which is symbolized by the design and layout of the Temple of Heaven.</p>",1998,1033,881
China,Mount Wuyi,Mixed,N,N,N,N,"<p>Mount Wuyi is the most outstanding area for biodiversity conservation in south-east China and a refuge for a large number of ancient, relict species, many of them endemic to China. The serene beauty of the dramatic gorges of the Nine Bend River, with its numerous temples and monasteries, many now in ruins, provided the setting for the development and spread of neo-Confucianism, which has been influential in the cultures of East Asia since the 11th century. In the 1st century B.C. a large administrative capital was built at nearby Chengcun by the Han dynasty rulers. Its massive walls enclose an archaeological site of great significance.</p>","<p>Natural criteria (vii) and (x): Mount Wuyi is one of the most outstanding subtropical forests in the world. It is the largest, most representative example of a largely intact forest encompassing the diversity of the Chinese Subtropical Forest and the South Chinese Rainforest. It acts as a refuge for a large number of ancient, relict plant species, many of them endemic to China and contains large numbers of reptile, amphibian and insect species. The riverine landscape of Nine-Bend Stream (lower gorge) is also of exceptional scenic quality in its juxtaposition of smooth rock cliffs with clear, deep water.</p>

<p>Cultural criteria (iii): Mount Wuyi is a landscape of great beauty that has been protected for more than twelve centuries. It contains a series of exceptional archaeological sites, including the Han City established in the 1st century BC and a number of temples and study centres associated with the birth of Neo-Confucianism in the 11th century AD.</p>

<p>Cultural Criterion (vi): Mount Wuyi was the cradle of Neo-Confucianism, a doctrine that played a dominant role in the countries of Eastern and South-Eastern Asia for many centuries and influenced philosophy and government over much of the world.</p>",1999,2245,911
China,Dazu Rock Carvings,Cultural,N,N,N,N,"<p>The steep hillsides of the Dazu area contain an exceptional series of rock carvings dating from the 9th to the 13th century. They are remarkable for their aesthetic quality, their rich diversity of subject matter, both secular and religious, and the light that they shed on everyday life in China during this period. They provide outstanding evidence of the harmonious synthesis of Buddhism, Taoism and Confucianism.</p>","<p>Criterion (i): The Dazu carvings represent the pinnacle of Chinese rock art for their high aesthetic quality and their diversity of style and subject matter.</p>

<p>Criterion (ii): Tantric Buddhism from India and the Chinese Taoist and Confucian beliefs came together at Dazu to create a highly original and influential manifestation of spiritual harmony.</p>

<p>Criterion (iii): The eclectic nature of religious belief in later Imperial China is given material expression in the exceptional artistic heritage of the Dazu rock art.</p>",1999,1065,912
China,Mount Qingcheng and the Dujiangyan Irrigation System,Cultural,N,N,N,N,"<p>Construction of the Dujiangyan irrigation system began in the 3rd century B.C. This system still controls the waters of the Minjiang River and distributes it to the fertile farmland of the Chengdu plains. Mount Qingcheng was the birthplace of Taoism, which is celebrated in a series of ancient temples.</p>","<p>Criterion (ii): The Dujiangyan Irrigation System, begun in the 2nd century BCE, is a major landmark in the development of water management and technology, and is still discharging its functions perfectly.</p>

<p>Criterion (iv): The immense advances in science and technology achieved in ancient China are graphically illustrated by the Dujiangyan Irrigation System.</p>

<p>Criterion (vi): The temples of Mount Qingcheng are closely associated with the foundation of Taoism, one of the most influential religions of East Asia over a long period of history.</p>",2000,1167,1001
China,Ancient Villages in Southern Anhui ñ Xidi and Hongcun,Cultural,N,N,N,N,"<p>The two traditional villages of Xidi and Hongcun preserve to a remarkable extent the appearance of non-urban settlements of a type that largely disappeared or was transformed during the last century. Their street plan, their architecture and decoration, and the integration of houses with comprehensive water systems are unique surviving examples.</p>","<p>Criterion (iii): The villages of Xidi and Hongcun are graphic illustrations of a type of human settlement created during a feudal period and based on a prosperous trading economy.</p>

<p>Criterion (iv): In their buildings and their street patterns, the two villages of southern Anhui reflect the socio-economic structure of a long-lived settled period of Chinese history.</p>

<p>Criterion (v): The traditional non-urban settlements of China, which have to a very large extent disappeared during the past century, are exceptionally well preserved in the villages of Xidi and Hongcun.</p>",2000,1168,1002
China,Longmen Grottoes,Cultural,N,N,N,N,"<p>The grottoes and niches of Longmen contain the largest and most impressive collection of Chinese art of the late Northern Wei and Tang Dynasties (316-907). These works, entirely devoted to the Buddhist religion, represent the high point of Chinese stone carving.</p>","<p>Criterion (i): The sculptures of the Longmen Grottoes are an outstanding manifestation of human artistic creativity.</p>

<p>Criterion (ii): The Longmen Grottoes illustrate the perfection of a long-established art form which was to play a highly significant role in the cultural evolution of this region of Asia.</p>

<p>Criterion (iii): The high cultural level and sophisticated society of Tang Dynasty China is encapsulated in the exceptional stone carvings of the Longmen Grottoes.</p>",2000,1169,1003
China,Imperial Tombs of the Ming and Qing Dynasties,Cultural,N,N,N,N,"<p>It represents the addition of three Imperial Tombs of the Qing Dynasty in Liaoning to the Ming tombs inscribed in 2000 and 2003. The Three Imperial Tombs of the Qing Dynasty in Liaoning Province include the Yongling Tomb, the Fuling Tomb, and the Zhaoling Tomb, all built in the 17th century. Constructed for the founding emperors of the Qing Dynasty and their ancestors, the tombs follow the precepts of traditional Chinese geomancy and fengshui theory. They feature rich decoration of stone statues and carvings and tiles with dragon motifs, illustrating the development of the funerary architecture of the Qing Dynasty. The three tomb complexes, and their numerous edifices, combine traditions inherited from previous dynasties and new features of Manchu civilization.</p>","<p><em>Criterion (i):</em> The harmonious integration of remarkable architectural groups in a natural environment chosen to meet the criteria of geomancy (Fengshui) makes the Ming and Qing Imperial Tombs masterpieces of human creative genius.</p>

<p><em>Criteria (ii), (iii) and (iv):</em> The imperial mausolea are outstanding testimony to a cultural and architectural tradition that for over five hundred years dominated this part of the world; by reason of their integration into the natural environment, they make up a unique ensemble of cultural landscapes.</p>

<p><em>Criterion (vi):</em> The Ming and Qing Tombs are dazzling illustrations of the beliefs, world view, and geomantic theories of Fengshui prevalent in feudal China. They have served as burial edifices for illustrious personages and as the theatre for major events that have marked the history of China.</p>",2000,1172,1004
China,Yungang Grottoes,Cultural,N,N,N,N,"<p>The Yungang Grottoes, in Datong city, Shanxi Province, with their 252 caves and 51,000 statues, represent the outstanding achievement of Buddhist cave art in China in the 5th and 6th centuries. The Five Caves created by Tan Yao, with their strict unity of layout and design, constitute a classical masterpiece of the first peak of Chinese Buddhist art.</p>","<p>Criterion (i): The assemblage of statuary of the Yungang Grottoes is a masterpiece of early Chinese Buddhist cave art.</p>

<p>Criterion (ii): The Yungang cave art represent the successful fusion of Buddhist religious symbolic art from south and central Asia with Chinese cultural traditions, starting in the 5th century CE under Imperial auspices.</p>

<p>Criterion (iii): The power and endurance of Buddhist belief in China are vividly illustrated by the Yungang grottoes.</p>

<p>Criterion (iv): The Buddhist tradition of religious cave art achieved its first major impact at Yungang, where it developed its own distinct character and artistic power.</p>",2001,1213,1039
China,Three Parallel Rivers of Yunnan Protected Areas,Natural,N,N,N,N,"<p>Consisting of eight geographical clusters of protected areas within the boundaries of the Three Parallel Rivers National Park, in the mountainous north-west of Yunnan Province, the 1.7 million hectare site features sections of the upper reaches of three of the great rivers of Asia: the Yangtze (Jinsha), Mekong and Salween run roughly parallel, north to south, through steep gorges which, in places, are 3,000 m deep and are bordered by glaciated peaks more than 6,000 m high. The site is an epicentre of Chinese biodiversity. It is also one of the richest temperate regions of the world in terms of biodiversity.</p>","<p>Criterion (vii): Superlative natural phenomena or natural beauty and aesthetic importance The deep, parallel gorges of the Jinsha, Lancang and Nu Jiang are the outstanding natural feature of the site; while large sections of the three rivers lie just outside the site boundaries, the river gorges are nevertheless the dominant scenic element in the area. High mountains are everywhere, with the glaciated peaks of the Meili, Baima and Haba Snow Mountains providing a spectacular scenic skyline. The Mingyongqia Glacier is a notable natural phemonenon, descending to 2700 m altitude from Mt Kawagebo (6740 m), and is claimed to be the gla cier descending to the lowest altitude for such a low latitude (28&Acirc;&deg; N) in the northern hemisphere. Other outstanding scenic landforms are the alpine karst (especially the 'stone moon' in the Moon Mountain Scenic Area above the Nu Jiang Gorge) and the 'tortoise shell' weathering of the alpine Danxia.</p>

<p>Criterion (viii): The property is of outstanding value for displaying the geological history of the last 50 million years associated with the collision of the Indian Plate with the Eurasian Plate, the closure of the ancient Tethys Sea, and the uplifting of the Himalaya Range and the Tibetan Plateau. These were major geological events in the evolution of the land surface of Asia and they are on-going. The diverse rock types within the site record this history and, in addition, the range of karst, granite monolith, and Danxia sandstone landforms in the alpine zone include some of the best of their type in the mountains of the world.</p>

<p>&Acirc;&nbsp;Criterion (ix): The dramatic expression of ecological processes in the Three Parallel Rivers site has resulted from a mix of geological, climatic and topographical effects. First, the location of the area within an active orographic belt has resulted in a wide range of rock substrates from igneous (four types) through to various sedimentary types including limestones, sandstones and conglomerates. An exceptional range of topographical features - from gorges to karst to glaciated peaks -- is associated with the site being at a &acirc;&euro;&oelig;collision point&acirc;&euro;ù of tectonic plates. Add the fact that the area was a Pleistocene refugium and is located at a biogeographical convergence zone (i.e. with temperate and tropical elements) and the physical foundations for evolution of its high biodiversity are all present. Along with the landscape diversity with a steep gradient of almost 6000m vertical, a monsoon climate affects most of the area and provides another favourable ecological stimulus that has allowed the full range of temperate Palearctic biomes to develop.</p>

<p>Criterion (x): Biodiversity and threatened species Northwest Yunnan is the area of richest biodiversity in China and may be the most biologically diverse temperate region on earth. The site encompasses most of the natural habitats in the Hengduan Mountains, one of the world's most important remaining areas for the conservation of the earth's biodiversity. The outstanding topographic and climatic diversity of the site, coupled with its location at the juncture of the East Asia, Southeast Asia, and Tibetan Plateau biogeographical realms and its function as a N-S corridor for the movement of plants and animals (especially during the ice ages), marks it as a truly unique landscape, which still retains a high degree of natural character despite thousands of years of human habitation. As the last remaining stronghold for an extensive suite of rare and endangered plants and animals, the site is of outstanding universal value.</p>",2003,1731,1083
China,Historic Centre of Macao,Cultural,N,N,N,N,"<p>Macao, a lucrative port of strategic importance in the development of international trade, was under Portuguese administration from the mid-16th century until 1999, when it came under Chinese sovereignty. With its historic street, residential, religious and public Portuguese and Chinese buildings, the historic centre of Macao provides a unique testimony to the meeting of aesthetic, cultural, architectural and technological influences from East and West. The site also contains a fortress and a lighthouse, the oldest in China. It bears witness to one of the earliest and longest-lasting encounters between China and the West, based on the vibrancy of international trade.</p>","<p><em>Criterion (ii):</em> The strategic location of Macao on the Chinese territory, and the special relationship established between the Chinese and Portuguese authorities favoured an important interchange of human values in the various fields of culture, sciences, technology, art and architecture over several centuries.</p>

<p><em>Criterion (iii): </em> Macao bears a unique testimony to the first and longest-lasting encounter between the West and China. From the 16th to the 20th centuries, it was the focal point for traders and missionaries, and the different fields of learning. The impact of this encounter can be traced in the fusion of different cultures that characterise the historic core zone of Macao.</p>

<p><em>Criterion (iv): </em> Macao represents an outstanding example of an architectural ensemble that illustrates the development of the encounter between the Western and Chinese civilisations over some four and half centuries, represented in the historical route, with a series of urban spaces and architectural ensembles, that links the ancient Chinese port with the Portuguese city.</p>

<p><em>Criterion (vi): </em> Macao has been associated with the exchange of a variety of cultural, spiritual, scientific and technical influences between the Western and Chinese civilisations. These ideas directly motivated the introduction of crucial changes in China, ultimately ending the era of imperial feudal system and establishing the modern republic.</p>",2005,1289,1110
China,Cultural Landscape of Honghe Hani Rice Terraces ,Cultural,N,N,N,N,"<p>The Cultural Landscape of Honghe Hani Rice Terraces, China covers 16,603-hectares in Southern Yunnan. It is marked by spectacular terraces that cascade down the slopes of the towering Ailao Mountains to the banks of the Hong River. Over the past 1,300 years, the Hani people have developed a complex system of channels to bring water from the forested mountaintops to the terraces. They have also created an integrated farming system that involves buffalos, cattle, ducks, fish and eel and supports the production of red rice, the area&rsquo;s primary crop. The inhabitants worship the sun, moon, mountains, rivers, forests and other natural phenomena including fire. They live in 82 villages situated between the mountaintop forests and the terraces. The villages feature traditional thatched &ldquo;mushroom&rdquo; houses. The resilient land management system of the rice terraces demonstrates extraordinary harmony between people and their environment, both visually and ecologically, based on exceptional and long-standing social and religious structures.</p>",,2013,1877,1111
China,Kaiping Diaolou and Villages,Cultural,N,N,N,N,"<p>Kaiping Diaolou and Villages feature the Diaolou, multi-storeyed defensive village houses in Kaiping, which display a complex and flamboyant fusion of Chinese and Western structural and decorative forms. They reflect the significant role of &eacute;migr&eacute; Kaiping people in the development of several countries in South Asia, Australasia and North America, during the late 19th and early 20th centuries. There are four groups of Diaolou and twenty of the most symbolic ones are inscribed on the List. These buildings take three forms: communal towers built by several families and used as temporary refuge, residential towers built by individual rich families and used as fortified residences, and watch towers. Built of stone, <em>pise</em> , brick or concrete, these buildings represent a complex and confident fusion between Chinese and Western architectural styles. Retaining a harmonious relationship with the surrounding landscape, the Diaolou testify to the final flowering of local building traditions that started in the Ming period in response to local banditry.</p>",,2007,1459,1112
China,Fujian <em>Tulou</em>,Cultural,N,N,N,N,"<p>Fujian <em>Tulou</em> is a property of 46 buildings constructed between the 15th and 20th centuries over 120 km in south-west of Fujian province, inland from the Taiwan Strait. Set amongst rice, tea and tobacco fields the Tulou are earthen houses. Several storeys high, they are built along an inward-looking, circular or square floor plan as housing for up to 800 people each. They were built for defence purposes around a central open courtyard with only one entrance and windows to the outside only above the first floor. Housing a whole clan, the houses functioned as village units and were known as &ldquo;a little kingdom for the family&rdquo; or &ldquo;bustling small city.&rdquo; They feature tall fortified mud walls capped by tiled roofs with wide over-hanging eaves. The most elaborate structures date back to the 17th and 18th centuries. The buildings were divided vertically between families with each disposing of two or three rooms on each floor. In contrast with their plain exterior, the inside of the tulou were built for comfort and were often highly decorated. They are inscribed as exceptional examples of a building tradition and function exemplifying a particular type of communal living and defensive organization, and, in terms of their harmonious relationship with their environment, an outstanding example of human settlement.</p>",,2008,1505,1113
China,Yin Xu,Cultural,N,N,N,N,"<p>The archaeological site of Yin Xu, close to Anyang City, some 500 km south of Beijing, is an ancient capital city of the late Shang Dynasty (1300 - 1046 BC). It testifies to the golden age of early Chinese culture, crafts and sciences, a time of great prosperity of the Chinese Bronze Age. A number of royal tombs and palaces, prototypes of later Chinese architecture, have been unearthed on the site, including the Palace and Royal Ancestral Shrines Area, with more than 80 house foundations, and the only tomb of a member of the royal family of the Shang Dynasty to have remained intact, the Tomb of Fu Hao. The large number and superb craftsmanship of the burial accessories found there bear testimony to the advanced level of Shang crafts industry. Inscriptions on oracle bones found in Yin Xu bear invaluable testimony to the development of one of the world&rsquo;s oldest writing systems, ancient beliefs and social systems.</p>",,2006,1293,1114
China,Capital Cities and Tombs of the Ancient Koguryo Kingdom,Cultural,N,N,N,N,"<p>The site includes archaeological remains of three cities and 40 tombs: Wunu Mountain City, Guonei City and Wandu Mountain City, 14 tombs are imperial, 26 of nobles. All belong to the Koguryo culture, named after the dynasty that ruled over parts of northern China and the northern half of the Korean Peninsula from 277 BC to AD 668. Wunu Mountain City is only partly excavated. Guonei City, within the modern city of Ji&rsquo;an, played the role of a &lsquo;supporting capital&rsquo; after the main Koguryo capital moved to Pyongyang. Wandu Mountain City, one of the capitals of the Koguryo Kingdom, contains many vestiges including a large palace and 37 tombs. Some of the tombs show great ingenuity in their elaborate ceilings, designed to roof wide spaces without columns and carry the heavy load of a stone or earth tumulus (mound), which was placed above them.</p>","<p><em>Criterion (i):</em> The tombs represent a masterpiece of the human creative genius in their wall paintings and structures.</p>

<p><em>Criterion (ii):</em> The Capital Cities of the Koguryo Kingdom are an early example of mountain cities, later imitated by neighbouring cultures. The tombs, particularly the important stele and a long inscription in one of the tombs, show the impact of Chinese culture on the Koguryo (who did not develop their own writing). The paintings in the tombs, while showing artistic skills and specific style, are also an example for strong impact from other cultures.</p>

<p><em>Criterion (iii):</em> The Capital Cities and Tombs of the Ancient Koguryo Kingdom represent exceptional testimony to the vanished Koguryo civilization.</p>

<p><em>Criterion (iv):</em> The system of capital cities represented by Guonei City and Wandu Mountain City also influenced the construction of later capitals built by the Koguryo regime; the Koguryo tombs provide outstanding examples of the evolution of piled-stone and earthen tomb construction.</p>

<p><em>Criterion (v):</em> The capital cities of the Koguryo Kingdom represent a perfect blending of human creation and nature whether with the rocks or with forests and rivers.</p>",2004,1315,1135
China,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",Natural,N,N,Y,Y,"<p>Sichuan Giant Panda Sanctuaries, home to more than 30% of the world's pandas which are classed as highly endangered, covers 924,500 ha with seven nature reserves and nine scenic parks in the Qionglai and Jiajin Mountains. The sanctuaries constitute the largest remaining contiguous habitat of the giant panda, a relict from the paleo-tropic forests of the Tertiary Era. It is also the species' most important site for captive breeding. The sanctuaries are home to other globally endangered animals such as the red panda, the snow leopard and clouded leopard. They are among the botanically richest sites of any region in the world outside the tropical rainforests, with between 5,000 and 6,000 species of flora in over 1,000 genera.</p>",,2006,1390,1213
China,South China Karst,Natural,N,N,Y,Y,"<p>South China Karst is one of the worldís most spectacular examples of humid tropical to subtropical karst landscapes. It is a serial site spread over the provinces of Guizhou, Guangxi, Yunnan and Chongqing and covers 176,228 hectares. It contains the most significant types of karst landforms, including tower karst, pinnacle karst and cone karst formations, along with other spectacular characteristics such as natural bridges, gorges and large cave systems. The stone forests of Shilin are considered superlative natural phenomena and a world reference. The cone and tower karsts of Libo, also considered the world reference site for these types of karst, form a distinctive and beautiful landscape. Wulong Karst has been inscribed for its giant dolines (sinkholes), natural bridges and caves.</p>",,2007,1965,1248
China,Mount Wutai,Cultural,N,N,N,N,"<p>With its five flat peaks, Mount Wutai is a sacred Buddhist mountain. The cultural landscape is home to forty-one monasteries and includes the East Main Hall of Foguang Temple, the highest surviving timber building of the Tang dynasty, with life-size clay sculptures. It also features the Ming dynasty Shuxiang Temple with a huge complex of 500 statues representing Buddhist stories woven into three-dimensional pictures of mountains and water. Overall, the buildings on the site catalogue the way in which Buddhist architecture developed and influenced palace building in China for over a millennium. Mount Wutai, literally, 'the five terrace mountain', is the highest in Northern China and is remarkable for its morphology of precipitous slopes with five open treeless peaks. Temples have been built on this site from the 1st century AD to the early 20th century.</p>",,2009,1587,1279
China,Mount Sanqingshan National Park,Natural,N,N,N,N,"<p>Mount Sanqingshan National Park, a 22,950 ha property located in the west of the Huyaiyu mountain range in the northeast of Jiangxi Province (in the east of central China) has been inscribed for its exceptional scenic quality, marked by the concentration of fantastically shaped pillars and peaks: 48 granite peaks and 89 granite pillars, many of which resemble human or animal silhouettes. The natural beauty of the 1,817 metre high Mount Huaiyu is further enhanced by the juxtaposition of granite features with the vegetation and particular meteorological conditions which make for an ever-changing and arresting landscape with bright halos on clouds and white rainbows. The area is subject to a combination of subtropical monsoonal and maritime influences and forms an island of temperate forest above the surrounding subtropical landscape. It also features forests and numerous waterfalls, some of them 60 metres in height, lakes and springs.</p>",,2008,1523,1292
China,Historic Monuments of Dengfeng in ìThe Centre of Heaven and Earthî,Cultural,N,N,N,N,"<p>Mount Songshang is considered to be the central sacred mountain of China. At the foot of this 1500 metre high mountain, close to the city of Dengfeng in Henan province and spread over a 40 square-kilometre circle, stand eight clusters of buildings and sites, including three Han Que gates - remains of the oldest religious edifices in China -, temples, the Zhougong Sundial Platform and the Dengfeng Observatory. Constructed over the course of nine dynasties, these buildings are reflections of different ways of perceiving the centre of heaven and earth and the power of the mountain as a centre for religious devotion. The historical monuments of Dengfeng include some of the best examples of ancient Chinese buildings devoted to ritual, science, technology and education.</p>",,2010,1726,1305
China,West Lake Cultural Landscape of Hangzhou,Cultural,N,N,N,N,"<p>The West Lake Cultural Landscape of Hangzhou, comprising the West Lake and the hills surrounding its three sides, has inspired famous poets, scholars and artists since the 9th century. It comprises numerous temples, pagodas, pavilions, gardens and ornamental trees, as well as causeways and artificial islands.<br />These additions have been made to improve the landscape west of the city of Hangzhou to the south of the Yangtze river.</p>

<p>The West Lake has influenced garden design in the rest of China as well as Japan and Korea over the centuries and bears an exceptional testimony to the cultural tradition of improving landscapes to create a series of vistas reflecting an idealised fusion between humans and nature.</p>

<p>&nbsp;</p>",,2011,1765,1334
China,China Danxia,Natural,N,N,N,N,"<p>China Danxia is the name given in China to landscapes developed on continental red terrigenous sedimentary beds influenced by endogenous forces (including uplift) and exogenous forces (including weathering and erosion). The inscribed site comprises six areas found in the sub-tropical zone of south-west China. They are characterized by spectacular red cliffs and a range of erosional landforms, including dramatic natural pillars, towers, ravines, valleys and waterfalls. These rugged landscapes have helped to conserve sub-tropical broad-leaved evergreen forests, and host many species of flora and fauna, about 400 of which are considered rare or threatened.</p>",,2010,1676,1335
China,Chengjiang Fossil Site,Natural,N,N,N,N,"<p>A hilly 512&nbsp;ha site in Yunnan province, Chengjiang&rsquo;s fossils present the most complete record of an early Cambrian marine community with exceptionally preserved biota, displaying the anatomy of hard and soft tissues in a very wide variety of organisms, invertebrate and vertebrate. They record the early establishment of a complex marine ecosystem. The site documents at least sixteen phyla and a variety of enigmatic groups as well as about 196 species, presenting exceptional testimony to the rapid diversification of life on Earth 530&nbsp;million years ago, when almost all of today&rsquo;s major animal groups emerged. It opens a palaeobiological window of great significance to scholarship.</p>",,2012,1803,1388
